timestamp,value
2015-02-26 21:42:53,53
2015-02-26 21:47:53,64
2015-02-26 21:52:53,49
2015-02-26 21:57:53,48
2015-02-26 22:02:53,22
2015-02-26 22:07:53,23
2015-02-26 22:12:53,17
2015-02-26 22:17:53,35
2015-02-26 22:22:53,23
2015-02-26 22:27:53,39
2015-02-26 22:32:53,26
2015-02-26 22:37:53,33
2015-02-26 22:42:53,51
2015-02-26 22:47:53,41
2015-02-26 22:52:53,34
2015-02-26 22:57:53,38
2015-02-26 23:02:53,45
2015-02-26 23:07:53,42
2015-02-26 23:12:53,39
2015-02-26 23:17:53,40
2015-02-26 23:22:53,24
2015-02-26 23:27:53,36
2015-02-26 23:32:53,18
2015-02-26 23:37:53,25
2015-02-26 23:42:53,21
2015-02-26 23:47:53,13
2015-02-26 23:52:53,7
2015-02-26 23:57:53,18
2015-02-27 00:02:53,18
2015-02-27 00:07:53,28
2015-02-27 00:12:53,14
2015-02-27 00:17:53,25
2015-02-27 00:22:53,26
2015-02-27 00:27:53,15
2015-02-27 00:32:53,16
2015-02-27 00:37:53,20
2015-02-27 00:42:53,13
2015-02-27 00:47:53,19
2015-02-27 00:52:53,13
2015-02-27 00:57:53,17
2015-02-27 01:02:53,14
2015-02-27 01:07:53,24
2015-02-27 01:12:53,19
2015-02-27 01:17:53,8
2015-02-27 01:22:53,10
2015-02-27 01:27:53,9
2015-02-27 01:32:53,17
2015-02-27 01:37:53,9
2015-02-27 01:42:53,16
2015-02-27 01:47:53,17
2015-02-27 01:52:53,17
2015-02-27 01:57:53,22
2015-02-27 02:02:53,13
2015-02-27 02:07:53,13
2015-02-27 02:12:53,15
2015-02-27 02:17:53,7
2015-02-27 02:22:53,29
2015-02-27 02:27:53,62
2015-02-27 02:32:53,26
2015-02-27 02:37:53,28
2015-02-27 02:42:53,85
2015-02-27 02:47:53,70
2015-02-27 02:52:53,36
2015-02-27 02:57:53,39
2015-02-27 03:02:53,28
2015-02-27 03:07:53,40
2015-02-27 03:12:53,176
2015-02-27 03:17:53,205
2015-02-27 03:22:53,164
2015-02-27 03:27:53,116
2015-02-27 03:32:53,14
2015-02-27 03:37:53,23
2015-02-27 03:42:53,18
2015-02-27 03:47:53,17
2015-02-27 03:52:53,18
2015-02-27 03:57:53,19
2015-02-27 04:02:53,18
2015-02-27 04:07:53,21
2015-02-27 04:12:53,21
2015-02-27 04:17:53,15
2015-02-27 04:22:53,11
2015-02-27 04:27:53,22
2015-02-27 04:32:53,13
2015-02-27 04:37:53,5
2015-02-27 04:42:53,18
2015-02-27 04:47:53,16
2015-02-27 04:52:53,14
2015-02-27 04:57:53,19
2015-02-27 05:02:53,14
2015-02-27 05:07:53,7
2015-02-27 05:12:53,17
2015-02-27 05:17:53,10
2015-02-27 05:22:53,12
2015-02-27 05:27:53,23
2015-02-27 05:32:53,11
2015-02-27 05:37:53,16
2015-02-27 05:42:53,8
2015-02-27 05:47:53,14
2015-02-27 05:52:53,11
2015-02-27 05:57:53,9
2015-02-27 06:02:53,6
2015-02-27 06:07:53,12
2015-02-27 06:12:53,20
2015-02-27 06:17:53,5
2015-02-27 06:22:53,8
2015-02-27 06:27:53,11
2015-02-27 06:32:53,14
2015-02-27 06:37:53,8
2015-02-27 06:42:53,8
2015-02-27 06:47:53,13
2015-02-27 06:52:53,13
2015-02-27 06:57:53,12
2015-02-27 07:02:53,7
2015-02-27 07:07:53,17
2015-02-27 07:12:53,18
2015-02-27 07:17:53,16
2015-02-27 07:22:53,11
2015-02-27 07:27:53,10
2015-02-27 07:32:53,7
2015-02-27 07:37:53,11
2015-02-27 07:42:53,6
2015-02-27 07:47:53,12
2015-02-27 07:52:53,6
2015-02-27 07:57:53,13
2015-02-27 08:02:53,25
2015-02-27 08:07:53,12
2015-02-27 08:12:53,7
2015-02-27 08:17:53,13
2015-02-27 08:22:53,5
2015-02-27 08:27:53,8
2015-02-27 08:32:53,10
2015-02-27 08:37:53,8
2015-02-27 08:42:53,10
2015-02-27 08:47:53,7
2015-02-27 08:52:53,6
2015-02-27 08:57:53,17
2015-02-27 09:02:53,18
2015-02-27 09:07:53,8
2015-02-27 09:12:53,11
2015-02-27 09:17:53,10
2015-02-27 09:22:53,14
2015-02-27 09:27:53,11
2015-02-27 09:32:53,16
2015-02-27 09:37:53,10
2015-02-27 09:42:53,8
2015-02-27 09:47:53,9
2015-02-27 09:52:53,8
2015-02-27 09:57:53,14
2015-02-27 10:02:53,15
2015-02-27 10:07:53,9
2015-02-27 10:12:53,13
2015-02-27 10:17:53,22
